1,年龄带给你的是焦虑还是勇气,https://s.weibo.com/weibo?q=%23%年龄带给你的是焦虑还是勇气%23,无论在人生的哪一个阶段，焦虑与勇气都是并存的，《京城十二时辰》第二季中小柯有着自己独特的理解，或许也有人觉得任何时候都不应该被年龄束缚，你怎么看？,229547436,55496,5883814680_晨报文艺
2,为什么竹马总是打不过天降,https://s.weibo.com/weibo?q=%23%为什么竹马总是打不过天降%23,《炽道》中罗娜和段宇成关系越走越近，吴泽便鼓起勇气表白罗娜，但惨遭发好人卡。为什么竹马总是打不过天降呢？,280787199,36886,5883814680_晨报文艺
3,万里归途能成为国庆档爆款吗,https://s.weibo.com/weibo?q=%23%万里归途能成为国庆档爆款吗%23,《万里归途》根据真实撤侨事件改编，由张译、王俊凯、殷桃主演，赤手空拳的外交官穿越战火和荒漠，面对反叛军的枪口，带领同胞走出一条回家之路。看这剧情和阵容都很棒啊，你觉得《万里归途》能成为国庆档爆款吗？,170938050,24187,7708039348_北青娱见
4,年轻人该如何预防脱发,https://s.weibo.com/weibo?q=%23%年轻人该如何预防脱发%23,你的头发还好吗？,40107191,17257,1734530730_大河报
5,如何看待平凡英雄里陌生人的善意,https://s.weibo.com/weibo?q=%23%如何看待平凡英雄里陌生人的善意%23,所谓平凡英雄，就是愿意在陌生人需要帮助时，毫不犹豫伸出援手。电影《平凡英雄》用一个揪心却暖心的故事，诠释了一份善意的传递。,46789432,19259,7708039348_北青娱见
6,十一假期你准备安排哪些活动,https://s.weibo.com/weibo?q=%23%十一假期你准备安排哪些活动%23,截至昨晚，2022年国庆档预售开启首日，新片预售票房已经突破1500万。国庆假期除了看电影，你准备安排哪些活动庆祝一下？,62241875,33470,1749990115_北京青年报
7,弹窗监管难点有哪些,https://s.weibo.com/weibo?q=%23%弹窗监管难点有哪些%23,为了规范弹窗信息推送服务，国家互联网信息办公室、工业和信息化部、国家市场监督管理总局近日联合发布《互联网弹窗信息推送服务管理规定》，自2022年9月30日起施行。弹窗监管难点有哪些？,17747398,5420,6115560351_国是直通车
8,年轻人有哪些花钱买自觉的行为,https://s.weibo.com/weibo?q=%23%年轻人有哪些花钱买自觉的行为%23,近日，“河北一县城开办超10家共享自习室”的话题引发中国社交平台热议。年轻人有哪些花钱买自觉的行为？,39339699,14842,6115560351_国是直通车
9,为什么有的人觉得送外卖丢人,https://s.weibo.com/weibo?q=%23%为什么有的人觉得送外卖丢人%23,9月21日，“浙大博士生送外卖”当事人孟伟发布视频回应称，送外卖给浙大丢人了，但自己从没因此觉得低人一等、矮人一截。孟伟曾是浙江大学求是学院研究生兼职辅导员。2021年，孟伟儿子出生10天后被诊断为爆发性心肌炎，在新生儿重症监护病房住院2个月。,17162342,6295,1749990115_北京青年报
10,网购平台应该如何适老化,https://s.weibo.com/weibo?q=%23%网购平台应该如何适老化%23,广东肇庆的七旬独居老人方爷爷，行动不便想网购但又不会，便用座机打电话求助京东客服，在客服团队助力下3年多来成功网购100多次。,22715696,9745,7516679696_九派新闻
